Gene_Name	other_name	Gene_Pos	Chr	Genome_Pos	Strand	chr_pos	Reference	Heat	Enzyme
YPL225W	YPL225W	65	chrXVI	126070	+	chrXVI_126070	Carlile 2014,Schwartz 2014	No	Cbf5
YAL053W	FLC2	1107	chrI	47004	+	chrI_47004	Schwartz 2014	No	Cbf5
YBL100W-B	TY2B_B	3487	chrII	33421	+	chrII_33421	Schwartz 2014	No	Cbf5
YCL034W	LSB5	1013	chrIII	62669	+	chrIII_62669	Schwartz 2014	No	Cbf5
YDR381W	YRA1	363	chrIV	1237685	+	chrIV_1237685	Schwartz 2014	No	Cbf5
YDR011W	SNQ2	2730	chrIV	468647	+	chrIV_468647	Schwartz 2014	No	Cbf5
YDR127W	ARO1	4061	chrIV	708543	+	chrIV_708543	Schwartz 2014	No	Cbf5
YFL002W-A	YFL002W-A	3931	chrVI	142134	+	chrVI_142134	Schwartz 2014	No	Cbf5
YKL077W	YKL077W	1040	chrXI	292491	+	chrXI_292491	Schwartz 2014	No	Cbf5
YLR449W	FPR4	374	chrXII	1031206	+	chrXII_1031206	Schwartz 2014	No	Cbf5
YML022W	APT1	139	chrXIII	229074	+	chrXIII_229074	Schwartz 2014	No	Cbf5
YMR237W	BCH1	1546	chrXIII	745293	+	chrXIII_745293	Schwartz 2014	No	Cbf5
YNL189W	SRP1	836	chrXIV	285094	+	chrXIV_285094	Schwartz 2014	No	Cbf5
YOR176W	HEM15	848	chrXV	663247	+	chrXV_663247	Schwartz 2014	No	Cbf5
YOR204W	DED1	1208	chrXV	724117	+	chrXV_724117	Schwartz 2014	No	Cbf5
YPL101W	ELP4	378	chrXVI	360585	+	chrXVI_360585	Schwartz 2014	No	Cbf5
YPR159W	KRE6	1697	chrXVI	859278	+	chrXVI_859278	Schwartz 2014	No	Cbf5
YLR359W	ADE13	1049	chrXII	845329	+	chrXII_845329	Schwartz 2014	No	Cbf5
YML117W	NAB6	1582	chrXIII	35823	+	chrXIII_35823	Schwartz 2014	No	Cbf5
YBR031W	RPL4A	101	chrII	300266	+	chrII_300266	Carlile 2014	No	Pus1
YBR039W	ATP3	62	chrII	315636	+	chrII_315636	Carlile 2014	No	Pus1
YBR293W	VBA2	200	chrII	787205	+	chrII_787205	Carlile 2014	No	Pus1
YCL005W	LDB16	31	chrIII	108051	+	chrIII_108051	Carlile 2014	No	Pus1
YCL048W-A	YCL048W-A	90	chrIII	41577	+	chrIII_41577	Carlile 2014	No	Pus1
YDR381W	YRA1	132	chrIV	1236689	+	chrIV_1236689	Carlile 2014	No	Pus1
YDL070W	BDF2	2	chrIV	331025	+	chrIV_331025	Carlile 2014,Schwartz 2014	No	Pus1
YDR012W	RPL4B	101	chrIV	471953	+	chrIV_471953	Carlile 2014	No	Pus1
YIL124W	AYR1	507	chrIX	126710	+	chrIX_126710	Carlile 2014	No	Pus1
YIR037W	HYR1	29	chrIX	423156	+	chrIX_423156	Carlile 2014	No	Pus1
YER042W	MXR1	246	chrV	235182	+	chrV_235182	Carlile 2014	No	Pus1
YGR133W	PEX4	137	chrVII	757032	+	chrVII_757032	Carlile 2014	No	Pus1
YHR148W	IMP3	703	chrVIII	394236	+	chrVIII_394236	Carlile 2014	No	Pus1
