Chr	Pos	Pseudouridine
snR4_snoRNA	141	Yes
snR73_snoRNA	55	Yes
LSR1_snRNA	35	Yes
snR17a_snoRNA	212	Yes
snR44_snoRNA	170	Yes
snR86_snoRNA	459	Yes
snR30_snoRNA	459	Yes(Pus4)
snR8_snoRNA	142	Yes(Pus4)
snR70_snoRNA	89	Yes
snR43_snoRNA	99	Yes
snR87_snoRNA	57	Yes
snR42_snoRNA	75	Yes
snR189_snoRNA	149	Yes
snR38_snoRNA	57	Yes
snR64_snoRNA	72	Yes
snR69_snoRNA	62	Yes
LSR1_snRNA	44	Yes
NME1_snoRNA	274	Yes
snR17a_snoRNA	240	Yes
snR17a_snoRNA	268	Yes
snR63_snoRNA	114	Yes
snR82_snoRNA	132	Yes
snR84_snoRNA	461	Yes
snR86_snoRNA	60	Yes
snR86_snoRNA	299	Yes
snR86_snoRNA	855	Yes
LSR1_snRNA	93	Yes
LSR1_snRNA	56	Yes
LSR1_snRNA	47	Yes
LSR1_snRNA	48	Yes
LSR1_snRNA	454	Yes
LSR1_snRNA	628	Yes
LSR1_snRNA	897	Yes
snR11_snoRNA	206	Yes
snR161_snoRNA	99	Yes
snR17a_snoRNA	216	Yes
snR17a_snoRNA	234	Yes
snR189_snoRNA	36	Yes
snR189_snoRNA	53	Yes
snR189_snoRNA	114	Yes
snR189_snoRNA	147	Yes
snR19_snRNA	6	Yes
snR19_snRNA	259	Yes
snR19_snRNA	415	Yes
snR191_snoRNA	39	Yes
snR191_snoRNA	212	Yes
snR24_snoRNA	26	Yes
snR3_snoRNA	4	Yes
snR3_snoRNA	57	Yes
snR3_snoRNA	149	Yes
snR35_snoRNA	23	Yes
snR37_snoRNA	5	Yes
snR37_snoRNA	116	Yes
snR37_snoRNA	185	Yes
snR37_snoRNA	205	Yes
snR37_snoRNA	211	Yes
snR42_snoRNA	46	Yes
snR42_snoRNA	238	Yes
snR43_snoRNA	103	Yes
snR44_snoRNA	15	Yes
snR44_snoRNA	142	Yes
snR45_snoRNA	7	Yes
snR45_snoRNA	129	Yes
snR45_snoRNA	130	Yes
snR47_snoRNA	73	Yes
snR5_snoRNA	117	Yes
snR5_snoRNA	126	Yes
snR50_snoRNA	46	Yes
snR63_snoRNA	66	Yes
snR64_snoRNA	76	Yes
snR65_snoRNA	61	Yes
snR68_snoRNA	20	Yes
snR70_snoRNA	83	Yes
snR83_snoRNA	106	Yes
snR84_snoRNA	226	Yes
snR84_snoRNA	330	Yes
snR84_snoRNA	446	Yes
snR84_snoRNA	463	Yes
snR85_snoRNA	100	Yes
snR86_snoRNA	303	Yes
snR86_snoRNA	434	Yes
snR86_snoRNA	540	Yes
snR86_snoRNA	575	Yes
snR86_snoRNA	669	Yes
snR86_snoRNA	722	Yes
LSR1_snRNA	42	Yes
snR17a_snoRNA	223	Yes
snR46_snoRNA	91	Yes
snR47_snoRNA	37	Yes
snR48_snoRNA	35	Yes
snR48_snoRNA	36	Yes
snR5_snoRNA	120	Yes
snR69_snoRNA	37	Yes
snR7-L_snRNA	99	Yes
