unique	Strain	read_index	-7	-6	-5	-4	-3	-2	-1	-0	1	2	3	4	5	6	7
348135	25s_2880	wt	23102	114.86	113.54	96.46	78.59	NA	NA	72.605	71.96	78.52	76.5171428571429	76.22	69.815	72.45	79.3433333333333	92.815
348136	25s_2880	wt	23103	116.38	117.7	97.23	82.21	103.4875	78.92	78.535	72.95	69.52	71.05	74.3825	73.21	69.65	82.67	94.58
348137	25s_2880	wt	23106	NA	NA	91.245	77.6566666666667	110.38	79.23	72.06	NA	NA	NA	73.4055555555556	72.6133333333333	70.1653846153846	82.04	95.34
348138	25s_2880	wt	23107	113.28	108.86	89.64	77.2933333333333	108.17	74.41	72.764	73.23	75.6	74.9607142857143	75.2266666666667	72.04	71.86	80.29	94.7
348139	25s_2880	wt	23108	111.556666666667	112.34	90.46	78.0325	108.35	80.21	73.38	NA	NA	72.93	74.21	69.36	70.37	79.36	93.16
348140	25s_2880	wt	23109	111.02	99.17	102.32	78.5566666666667	88.2	94.05	NA	NA	NA	NA	NA	70.6	70.4233333333333	76.3	91.86
348141	25s_2880	wt	23110	117.62	110.23	91.62	78.36	108.89	78.04	74.98	88.51	79.82	73.75	72.23	71.32	69.876	78.7775	95.5166666666667
348142	25s_2880	wt	23112	NA	115.97	98.1	77.27	93.77	78.88	74.23	NA	NA	72.31	75.278	75.2	73.08	82.94	81.77
348143	25s_2880	wt	23113	115.63	110.91	92.47	77.995	103.995	76.61	75.92	72.01	76.18	76.81	69.53	70.84	75.49	80.655	95.725
348144	25s_2880	wt	23114	112.066666666667	112.49	91.51	76.595	114.1	80.03	73.48	73.74	NA	72.31	75.13	76.31	72.33	79.952	92.5433333333333
348145	25s_2880	wt	23118	114.61	109.16	90.54	75.5	107.32	76.82	70.72	NA	NA	NA	75.02625	71.905	71.125	79.13	92.295
348146	25s_2880	wt	23119	120.43	114.055	94.77	78.12	110.94	73.07	75.33	NA	NA	73.04	75.05	72.29	70.5075	80.45	94.99
348147	25s_2880	wt	23120	110.22	115.79	89.96	79.505	104.55	76.65	71.97	73.69	70.59	73.18	73.8642857142857	71.43375	70.155	78.1	93.7366666666667
348148	25s_2880	wt	23121	111.5	108.48	91.13	75.69	101.38	76.97	70.28	NA	NA	72.84	73.3175	71.33	72.53	79.825	96.84
348149	25s_2880	wt	23122	118.86	114.81	87.91	79.6966666666667	107.81	75.61	73.51	71.71	NA	75.164	73.33	72.1025	70.2433333333333	83.0333333333333	93.574
348150	25s_2880	wt	23123	115.08	114.725	90.27	75.795	110.02	NA	74.61	82.51	NA	73.7	73.275	72.44375	70.814	80.1875	93.708
348151	25s_2880	wt	23125	110.745	104.56	108.18	77.438	108.045	74.19	NA	76.66	72.08	76.125	72.37	71.36	70.438	79.65	93.4916666666667
348152	25s_2880	wt	23126	NA	106.24	91.86	79.4166666666667	106.31	78.4	70.59	NA	NA	NA	NA	71.07	70.3785714285714	80.375	94.405
348153	25s_2880	wt	23127	115.74	110.04	91.58	78.9933333333333	108.27	76.69	70.86	73.97	72.33	70.95	75.81	71.1133333333333	69.69	80.51	95.8
348154	25s_2880	wt	23129	NA	112.8	91.475	76.7028571428571	102.815	78.67	73.4975	NA	NA	73.03	73.85	70.69	69.94	78.48	90.615
348155	25s_2880	wt	23130	111.77	116.65	92.68	79.0225	103.81	76.81	70.32	NA	NA	75.41	74.3014285714286	72.0866666666667	71.55	81.9366666666667	95.47
348156	25s_2880	wt	23132	115.576666666667	115.14	98.53	79.63	100.765	80.45	71.93	70.72	75.08	76.79	73.72	71.34	72.98	84.29	94.04
348157	25s_2880	wt	23135	111.98	109.43	92.21	77.7233333333333	107.89	79.5	74.58	NA	NA	NA	74.935	73.01	70.759375	78.86	93.42
348158	25s_2880	wt	23137	109.16	108.24	77.82	77.095	105.91	78.38	75.9933333333333	74.53	NA	74.62	72.46	72.9257142857143	70.1783333333333	81.25	92.87
348159	25s_2880	wt	23138	109.135	109.75	91.88	77.5366666666667	109.87	76.53	71.47	74.06	80.2666666666667	75.79	71.44	70.27	70.74	78.58	96.0033333333333
348160	25s_2880	wt	23139	113.3	114.79	92.72	78.615	108.07	78.35	71.23	73.17	75.87	72.45	70.5	67.85	70.66	80.86	95.195
348161	25s_2880	wt	23140	110.23	115	96.6	80.8133333333333	105.963333333333	81.7	76.38	71.35	72.2	69.83	75.3783333333333	72.02	73.45	81.48	93.84
348162	25s_2880	wt	23142	113.025	111.81	95.28	87.4	112.26	80.78	77.7283333333333	71.92	77.74	77.262	73.48	72.08	72.6	81.0825	95.93
348163	25s_2880	wt	23144	112.05	109.65	92.93	76.344	108.875	76.5	73.34	NA	NA	NA	71.7	72.8175	71.37	79.92	90.68
348164	25s_2880	wt	23145	109.79	104.05	95.58	76.33	93.2	71.73	81.68	NA	NA	NA	NA	70.7516666666667	71.78	83.33	94.655
348165	25s_2880	wt	23146	NA	109.81	92.57	78.1266666666667	101.242	80.33	70.49	NA	75.53	74.47	75.6633333333333	70.05	72.63	79.46	90.685
348166	25s_2880	wt	23148	113.34	110.52	91.25	76.985	NA	NA	74.15	70.04	75.55	78.31	77.62	70.61	72.84	79.715	92.63
348167	25s_2880	wt	23149	NA	NA	90.82	78.8166666666667	112.34	87.995	77.325	NA	NA	76.03	74.88	69.51	73	81.29	93.855
